,datetime,nav,cash_position,margin_requirement
0,1980-09-30,71.1593508042733,64.77550951387973,81.6273083430645
0,1980-10-31,71.89729183822807,64.97706287812419,80.00833222949299
0,1980-11-28,75.59931591600984,65.4622621730343,82.86255153907966
0,1980-12-31,72.21881991994087,65.60977143365515,85.10137037294908
0,1981-01-30,69.76963342248183,65.96430077173872,82.92566612397584
0,1981-02-27,70.09359990578007,66.22226270565925,84.11458076929469
0,1981-03-31,71.44506089892454,66.53073339660496,86.78261148312043
0,1981-04-30,72.09546738240824,67.19865726629095,87.14464841894339
0,1981-05-29,71.83847009853869,67.71911729096757,88.7003015427106
0,1981-06-30,65.37846826783523,68.19626868999445,85.5334275852423
0,1981-07-31,64.97386153639847,67.89363842883252,81.09141185151645
0,1981-08-31,63.26430134723199,67.30687157578467,75.75411008419853
0,1981-09-30,63.777801010350245,66.68663488454301,73.50371764276883
0,1981-10-30,64.55701050312197,65.89641335351673,77.03434630494817
0,1981-11-30,61.367657438345944,64.28754932138808,77.21207123774235
0,1981-12-31,62.942643192491644,63.41945863569348,73.32499991504046
0,1982-01-29,64.50457599855407,62.963751809006254,72.3820542206701
0,1982-02-26,62.23602740862323,62.37282570215125,69.92139129450209
0,1982-03-31,63.19463003379549,61.82015857697917,69.46972755098064
0,1982-04-30,65.61328705941814,61.6739319920313,71.72009121155176
0,1982-05-28,67.8470036376153,61.87760414078488,69.06137215704443
0,1982-06-30,69.39076108131893,62.51612592702431,69.61207585889274
0,1982-07-30,71.81439844144558,63.39269582248771,69.6747856363964
0,1982-08-31,73.65437202421337,64.65658454723692,77.17799454264035
0,1982-09-30,70.85995913720527,65.67267281051197,79.94960051188778
0,1982-10-29,69.34705652094806,66.39392365331429,89.38661687475216
0,1982-11-30,71.78103615672478,67.56480467331558,94.37406875508239
0,1982-12-31,73.06153162361639,68.81990333420623,92.46089840618497
0,1983-01-31,75.11059205170433,70.14561113276453,93.46708183282237
0,1983-02-28,75.11445486443844,71.73360067860413,95.98331546827404
0,1983-03-31,72.62043475682061,72.524256722837,99.32162164338706
0,1983-04-29,69.12263009782585,72.76805172375995,103.87068960225578
0,1983-05-31,71.93158452221665,73.16403192316905,101.5711736290144
0,1983-06-30,77.1728031085919,73.997793637295,100.27178347711299
0,1983-07-29,73.01812906128264,74.13610746830894,93.21350712282631
0,1983-08-31,71.0747468811579,74.13327367279561,88.99298719398254
0,1983-09-30,70.81640133023744,74.4795598802121,87.80990365772496
0,1983-10-31,70.2314719472711,74.6879080350602,84.15400500445196
0,1983-11-30,68.56288986442613,74.5715809799254,86.0392751620953
0,1983-12-30,67.45367637665672,74.38091388160026,82.97144028150188
0,1984-01-31,64.05005276621836,73.68869738678964,79.78809079205995
0,1984-02-29,63.775600387478605,72.99680977509661,75.80509878014594
0,1984-03-30,62.963761635925195,72.44923063820482,75.85977378601052
0,1984-04-30,65.1664546625131,72.3089103116037,75.76962981717853
0,1984-05-31,68.30390862527435,72.07050870113362,71.66118060049246
0,1984-06-29,70.41013484332761,71.59057038985827,74.10813137309887
0,1984-07-31,70.34473399385928,71.35055595417873,73.64519773188972
0,1984-08-31,69.21610565723235,71.11260881642619,80.69510095121305
0,1984-09-28,65.25408309876254,70.64540245741082,81.06581337163735
0,1984-10-31,63.76855880978532,70.10386253991476,80.9603602502329
0,1984-11-30,61.66972506124928,69.4902821560539,79.89399698494294
0,1984-12-31,59.63625359436156,68.76493697410622,81.76353671082782
0,1985-01-31,60.35448985110148,68.38126148336565,88.52506211360993
0,1985-02-28,61.586843358984936,68.05958337657091,89.73093251260403
0,1985-03-29,61.66412163657463,67.90650618476727,88.68847675003666
0,1985-04-30,57.19504184651882,67.20716206352667,87.34430955434598
0,1985-05-31,57.739532102282396,66.2082267091324,88.88836512719627
0,1985-06-28,56.91184943537343,64.77113690400198,87.2954118839472
0,1985-07-31,56.18886313234567,63.24146499277386,82.0604507676602
0,1985-08-30,56.29144070979977,61.950436226251746,78.93036276676412
0,1985-09-30,57.07057382081603,61.258863413282164,74.35930592478833
0,1985-10-31,54.98303227362993,60.58279361285429,76.51388619652477
0,1985-11-29,55.837917815107474,60.18134981303339,79.48710263540238
0,1985-12-31,55.99349300027883,59.90859898346252,80.37679506017012
0,1986-01-31,54.55260743076997,59.55235661639712,80.12798782475815
0,1986-02-28,52.67925230082139,58.882486307354604,83.28371551643896
0,1986-03-31,53.34381447176594,58.29287105784174,85.05616741763478
0,1986-04-30,56.96363901427426,58.560284468435555,82.23517423545303
0,1986-05-30,60.39790928213076,59.16581283391407,85.59582046930979
0,1986-06-30,63.06651933803846,59.71689604037583,85.81681943949556
0,1986-07-31,61.57264892614279,60.25817613851509,79.62123380933984
0,1986-08-29,58.757215706028454,60.469521468020325,80.63537117143025
0,1986-09-30,59.055173533161536,60.81338962665194,72.40968152615372
0,1986-10-31,62.561798049733,61.59053869484665,74.36700059416685
0,1986-11-28,63.88004911880678,62.16458846774111,74.16320480299825
0,1986-12-31,62.71881218752023,62.66726699172178,72.5467654565589
0,1987-01-30,65.47995375939607,63.6232920109009,78.79178338079805
0,1987-02-27,68.37067164334233,64.77942498324157,84.17213884722418
0,1987-03-31,71.1780083685177,65.94528383585573,84.93913378748937
0,1987-04-30,72.79252461882366,67.01774090102843,83.674582581533
0,1987-05-29,74.09549471087155,68.0692187407233,84.84798643781056
0,1987-06-30,74.01775337721156,68.88242917723694,89.2244064684993
0,1987-07-31,76.77605663277214,70.05673642007791,91.81108901168187
0,1987-08-31,76.11199325816249,71.29359078350203,96.7483128924671
0,1987-09-30,73.93071684495844,72.46350840273888,93.29185911448302
0,1987-10-30,69.84280246384539,72.99800567350414,76.58318147733296
0,1987-11-30,68.30594578611931,73.25029406639,72.40733532394853
0,1987-12-31,72.13351027629069,73.95096536199804,77.28843175830815
